sample,total_reads,avg_read_length
SRR2144407.fastq,11137696,48.80572166810802
SRR2144442.fastq,23402887,49.2090709150542
SRR2144440.fastq,9228913,49.09600263866395
SRR2144438.fastq,22262474,49.07610147012412
SRR2144459.fastq,13510433,48.46998945185547
SRR2144418.fastq,11387097,49.17594774155344
SRR2144460.fastq,14212634,48.495576119106424
SRR2144444.fastq,19337545,49.28863850090588
SRR2144446.fastq,12228578,48.76322839826511
SRR2144462.fastq,9134889,48.615077315115705
SRR2144439.fastq,23420893,49.38554383899879
SRR2144420.fastq,8395860,49.296507445336154
SRR2144458.fastq,18359709,48.511753590430004
SRR2144388.fastq,13825269,48.858389156840275
SRR2144443.fastq,22391620,48.988152130127254
SRR2144406.fastq,6075558,48.76179652963563
SRR2144447.fastq,8980568,48.7988209654445
SRR2144463.fastq,9277113,48.68012882887165
SRR2144461.fastq,11309990,48.622776147459014
SRR2144419.fastq,8548881,49.253948440737446
SRR2144474.fastq,14292390,48.53479830875032
SRR2144415.fastq,7173540,49.224773542769675
SRR2144382.fastq,5117736,48.916413234289536
SRR2144472.fastq,12712595,48.494013063422535
SRR2144386.fastq,20504937,48.82539634235404
SRR2144411.fastq,40092717,49.452431572547205
SRR2144384.fastq,24589410,49.01220891432531
SRR2144408.fastq,9161851,48.96287147651714
SRR2144416.fastq,18841581,49.41534816000844
SRR2144383.fastq,7114487,48.934366455374786
SRR2144448.fastq,8990672,48.784180982244706
SRR2144414.fastq,14502930,49.322830421163175
SRR2144410.fastq,16597039,49.31962918204868
SRR2144473.fastq,11728012,48.49582060454917
SRR2144387.fastq,27218312,48.77324574720137
SRR2144412.fastq,16707966,49.480853923212436
