"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Zm00001eb000010",456.287703049653,0.744810026244576,0.158454435436232,6.83572766312154e-07,1.14244591706666e-05
"Zm00001eb000020",40.1506624710847,0.324413518737045,0.253865824038037,0.120624789085365,0.234684773762425
"Zm00001eb000060",102.226568924131,-0.0323333993778091,0.182879955231121,0.843857076661112,0.907210250526384
"Zm00001eb000070",23.1679637747995,0.383401672378095,0.393152814459707,0.135598351134014,0.256164098915415
"Zm00001eb000080",301.621573645784,0.181291343745482,0.126129537991566,0.13254057295944,0.251808046895643
"Zm00001eb000120",4.95741432130301,-0.0982818974155254,0.377861684493695,0.624395971160534,0.751870600150929
"Zm00001eb000150",3.78869670820873,-0.0632126545419357,0.393880349042323,0.715519393532367,0.819431784213943
"Zm00001eb000170",208.207312530236,0.0164269307887012,0.131343674264088,0.896346932149637,0.940649222641876
"Zm00001eb000190",250.180143935878,0.585166361098812,0.203988527636356,0.00143524483341799,0.00708292060635082
"Zm00001eb000210",175.134572469867,0.227292904922166,0.15272386811176,0.111757939580334,0.222062074364802
"Zm00001eb000220",307.660532386292,-0.0136930744416343,0.103049827597119,0.890602337411302,0.936941201049362
"Zm00001eb000230",668.155238454453,-0.353874579443596,0.134542078809932,0.00550289521737359,0.0210262989938549
"Zm00001eb000240",214.315413610686,-0.0461237096205587,0.217724914955637,0.805119021660212,0.881125266851711
"Zm00001eb000270",3.7048098098052,0.127827117121165,0.412617952292815,0.468918506396963,0.620603534985174
"Zm00001eb000310",6.52640617176736,0.219584647703452,0.423823438402226,0.295045398878003,0.450286374465443
"Zm00001eb000320",569.881439624568,-0.00993057227813184,0.120951386308688,0.93089337777232,0.960466115363974
"Zm00001eb000330",47.6046917867638,-0.181792412893333,0.199523895821195,0.308260734978898,0.464539519480586
"Zm00001eb000340",479.024348764734,0.541805836826366,0.182797174954609,0.00121321159646389,0.00617239749866934
"Zm00001eb000380",1.22965228156632,-0.0398262479507629,0.418584547515148,0.700445434421263,0.808783904509053
"Zm00001eb000400",2.32049543100259,-0.126471945477476,0.405986256509771,0.497637146447435,0.647493495194358
"Zm00001eb000420",313.970834534903,0.287800327636473,0.149055307411179,0.0390890285594485,0.0992295869532189
"Zm00001eb000430",2.12846025482039,-0.0706303227051065,0.433223265202062,0.37036195585873,0.528522301880277
"Zm00001eb000440",4.83225378362364,0.145463773065723,0.423570468440239,0.39537892244027,0.553275992778953
"Zm00001eb000460",7.99766860134008,0.0172948957438131,0.38821032987587,0.924816546206015,0.957134995648414
"Zm00001eb000470",85.2667492875736,-0.220989781869894,0.199565275324527,0.210147660230283,0.353443542261182
"Zm00001eb000480",2665.36384297029,-0.256072572046578,0.0959720311693688,0.00610205995035501,0.0228650337390421
"Zm00001eb000490",13.5745558400793,-0.179520725985245,0.367297768613605,0.415283882331239,0.5713883268272
"Zm00001eb000500",87.881946079735,0.159404905970654,0.166980067817935,0.300001980460116,0.455725990810458
"Zm00001eb000510",1251.19612342191,0.153081661863242,0.0935518299172771,0.0937402016410788,0.194232804772834
"Zm00001eb000520",314.061661113943,0.615488584562954,0.18199084609068,0.000237604457741377,0.0016308129489259
"Zm00001eb000540",1.53527448419649,-0.150010843697986,0.430010944902282,0.386097343700068,0.544595917891396
"Zm00001eb000550",202.429997828299,-0.0132447103646418,0.130408706844309,0.914059801302657,0.950608614848183
"Zm00001eb000570",50.1498818664762,0.0367768970462725,0.249564984908045,0.859100076385128,0.916640946942377
"Zm00001eb000590",217.78293328332,0.699827908105919,0.195141240808772,8.82764204326639e-05,0.000718382506995295
"Zm00001eb000620",2980.2273741647,-0.228919435111211,0.169691399422694,0.141177482714704,0.263875415074065
"Zm00001eb000640",36.0610217058459,0.231990155578007,0.24411446983493,0.256948421501136,0.407236263809152
"Zm00001eb000650",25.2547008740112,0.177952551310065,0.247393183542176,0.388128655373831,0.546456529578387
"Zm00001eb000670",318.046920294764,-0.55765189359715,0.190681257133637,0.00130711990269028,0.0065626810620137
"Zm00001eb000680",19.8586745783208,-0.225732022148498,0.343491949994861,0.326182355564766,0.483205425692046
