Gene stable ID	Transcript stable ID	UniProtKB/TrEMBL ID
Zm00001eb001220	Zm00001eb001220_T001	A0A1D6JLB9
Zm00001eb010530	Zm00001eb010530_T001	Q41815
Zm00001eb010530	Zm00001eb010530_T001	A0A8J8XBQ1
Zm00001eb011880	Zm00001eb011880_T001	B6TDB5
Zm00001eb011900	Zm00001eb011900_T002	A0A1D6JXF4
Zm00001eb011900	Zm00001eb011900_T001	A0A804LHP0
Zm00001eb011930	Zm00001eb011930_T001	B4F976
Zm00001eb012040	Zm00001eb012040_T002	A0A075T3H0
Zm00001eb012040	Zm00001eb012040_T001	A0A804LHS7
Zm00001eb012150	Zm00001eb012150_T001	B6TNQ6
Zm00001eb012160	Zm00001eb012160_T002	C0P5Y8
Zm00001eb012160	Zm00001eb012160_T001	C0PFL9
Zm00001eb012160	Zm00001eb012160_T001	A0A8J8Y6E6
Zm00001eb013780	Zm00001eb013780_T001	A0A075T3F1
Zm00001eb015770	Zm00001eb015770_T002	A0A1D6K1T6
Zm00001eb015770	Zm00001eb015770_T005	A0A804LJP0
Zm00001eb015770	Zm00001eb015770_T004	A0A804LJN9
Zm00001eb015770	Zm00001eb015770_T001	A0A804LJN6
Zm00001eb015770	Zm00001eb015770_T003	A0A804LJN8
Zm00001eb023600	Zm00001eb023600_T001	A0A096SQP7
Zm00001eb034050	Zm00001eb034050_T001	A0A804LSV9
Zm00001eb050500	Zm00001eb050500_T004	A0A804M0S1
Zm00001eb050500	Zm00001eb050500_T002	B6T3N9
Zm00001eb050500	Zm00001eb050500_T003	A0A804M0S1
Zm00001eb050500	Zm00001eb050500_T001	B6T3N9
Zm00001eb051810	Zm00001eb051810_T001	A0A1D6KYH1
Zm00001eb055260	Zm00001eb055260_T001	B6SXH8
Zm00001eb057010	Zm00001eb057010_T001	A0A1D6L3W8
Zm00001eb060560	Zm00001eb060560_T001	C0HHW6
Zm00001eb060570	Zm00001eb060570_T001	B6UCB4
Zm00001eb060700	Zm00001eb060700_T001	A0A1D6L7M9
Zm00001eb064660	Zm00001eb064660_T001	A0A804M7H9
Zm00001eb080760	Zm00001eb080760_T001	A0A804MF48
Zm00001eb080770	Zm00001eb080770_T001	A0A1D6E953
Zm00001eb081770	Zm00001eb081770_T001	C0P8J4
Zm00001eb083610	Zm00001eb083610_T001	A0A804MGE7
Zm00001eb083610	Zm00001eb083610_T002	B4G0B0
Zm00001eb087350	Zm00001eb087350_T001	A0A1D6EEN1
Zm00001eb087350	Zm00001eb087350_T002	A0A804MI69
Zm00001eb088070	Zm00001eb088070_T003	A0A804MIF4
Zm00001eb088070	Zm00001eb088070_T001	A0A804MIF2
Zm00001eb088070	Zm00001eb088070_T002	A0A075TDM8
Zm00001eb107810	Zm00001eb107810_T002	B4FTY4
Zm00001eb107810	Zm00001eb107810_T001	A0A1D6EZM7
Zm00001eb112330	Zm00001eb112330_T001	A0A804MUG9
Zm00001eb112930	Zm00001eb112930_T002	B6SRB1
Zm00001eb112930	Zm00001eb112930_T002	A0A3L6FR47
Zm00001eb112930	Zm00001eb112930_T001	A0A1D6F5L3
Zm00001eb113490	Zm00001eb113490_T002	A0A804MUZ5
Zm00001eb113490	Zm00001eb113490_T001	A0A1D6F696
Zm00001eb116210	Zm00001eb116210_T001	A0A804MW53
Zm00001eb116210	Zm00001eb116210_T002	A0A804MW54
Zm00001eb121900	Zm00001eb121900_T001	B4F9K4
Zm00001eb121900	Zm00001eb121900_T001	A0A8J8XU91
Zm00001eb124380	Zm00001eb124380_T001	A0A804N007
Zm00001eb124940	Zm00001eb124940_T001	B6SIX0
Zm00001eb124950	Zm00001eb124950_T001	A0A804N0A1
Zm00001eb124960	Zm00001eb124960_T001	B4G197
Zm00001eb125030	Zm00001eb125030_T001	B6SLV6
Zm00001eb130650	Zm00001eb130650_T006	A0A1D6MS31
Zm00001eb130650	Zm00001eb130650_T004	Q64HB9
Zm00001eb130650	Zm00001eb130650_T003	A0A804N2X2
Zm00001eb130650	Zm00001eb130650_T002	Q64HB9
Zm00001eb130650	Zm00001eb130650_T007	Q64HC0
Zm00001eb130650	Zm00001eb130650_T005	B4FJL5
Zm00001eb130650	Zm00001eb130650_T001	Q64HC0
Zm00001eb137030	Zm00001eb137030_T002	A0A804N5N9
Zm00001eb137030	Zm00001eb137030_T001	A0A804N5N8
Zm00001eb137430	Zm00001eb137430_T001	A0A1D6MXK3
Zm00001eb145730	Zm00001eb145730_T003	C0HDY7
Zm00001eb145730	Zm00001eb145730_T001	B4G0B1
Zm00001eb145730	Zm00001eb145730_T001	A0A3L6FJ37
Zm00001eb145730	Zm00001eb145730_T002	B4G0B1
Zm00001eb145730	Zm00001eb145730_T002	A0A3L6FJ37
Zm00001eb148130	Zm00001eb148130_T002	A0A804NB14
Zm00001eb148130	Zm00001eb148130_T001	A0A1D6N7C4
Zm00001eb148420	Zm00001eb148420_T001	A0A1D6N7I4
Zm00001eb148420	Zm00001eb148420_T002	A0A804NB58
Zm00001eb150610	Zm00001eb150610_T001	A0A1D6N9F2
Zm00001eb155090	Zm00001eb155090_T001	A0A804NEE2
Zm00001eb155620	Zm00001eb155620_T001	B6UGS5
Zm00001eb157170	Zm00001eb157170_T001	B6T3Q3
